Wort,Anzahl
wollen,618
EU,595
Europa,222
europäischen,172
müssen,160
stärken,158
muss,140
unterstützen,128
europäische,117
soll,109
Mitgliedstaaten,118
Schutz,86
sollen,84
fördern,78
schaffen,75
Frauen,71
Entwicklung,67
Zusammenarbeit,67
Unternehmen,66
braucht,64
Sicherheit,65
schützen,61
Europäischen,55
Wohlstand,53
Europäische,53
Zugang,53
Zukunft,52
Ziel,50
Wirtschaft,48
Rahmen,49
Deutschland,49
Demokratie,46
stehen,45
stellen,43
Leben,41
digitalen,42
ermöglichen,42
gestalten,41
Staaten,45
soziale,40
weltweit,40
Umsetzung,40
ausbauen,40
verbessern,41
Gesellschaft,40
stärker,39
Forschung,39
Beitrag,39
Maßnahmen,40
Energien,38
europäischer,38
Förderung,39
Ländern,42
Investitionen,37
Ukraine,36
Menschenrechte,36
Herausforderungen,36
Bürger*innen,45
konsequent,36
Standards,36
wichtige,35
Europas,35
Bereich,36
Freiheit,34
gemeinsame,34
Zivilgesellschaft,34
Grundlage,33
brauchen,33
Unterstützung,33
Rolle,33
Prozent,32
Einsatz,32
hinaus,32
treten,31
nachhaltige,31
Landwirtschaft,31
Land,35
leisten,31
Ort,31
einsetzen,31
Gruppen,31
sorgen,30
gehört,30
Blick,30
Gewalt,30
Daten,29
Parlament,30
Austausch,30
Klimakrise,28
Politik,30
China,29
Infrastruktur,28
Ausbau,28
Regeln,28
gemeinsam,28
europaweit,28
Verbraucher*innen,28
Teilhabe,28
Stärkung,28
Arbeit,28
Natur,27
Ebene,34
Produktion,27
globalen,27
deutlich,27
sollte,27
digitale,27
sozialen,26
sichern,26
Digitalisierung,26
erneuerbaren,26
Kultur,26
Regionen,26
Kommunen,26
Globalen,26
Raum,26
Verantwortung,26
stark,25
Klima,25
erreichen,25
entwickeln,25
Kommission,46
Transparenz,25
Frieden,24
politische,24
Gesundheit,24
Bekämpfung,24
nationalen,23
Grenzen,24
gemeinsamen,24
Erfolg,23
aktiv,23
Zusammenhalt,22
Union,22
Welt,22
faire,22
internationalen,22
Kinder,22
demokratischen,23
starke,22
ermöglicht,21
sicherstellen,21
Kontinent,21
Strukturen,21
wichtiger,21
Kontrolle,21
Länder,21
Organisationen,21
Rechtsstaatlichkeit,20
bestehenden,20
Klimaschutz,21
Industrie,20
Anreize,20
Aufbau,21
Krisen,20
EU-Kommission,20
führen,20
politischen,20
globale,20
leben,19
Werte,20
bieten,19
Folgen,19
gelten,19
Produkte,20
Schritt,19
Südens,19
Hand,19
finanziell,19
wirtschaftlichen,19
öffentlichen,19
Arbeitnehmer*innen,19
internationale,19
Diskriminierung,19
Region,19
Vielfalt,18
Sinne,18
verbindliche,18
Verfahren,18
Möglichkeit,18
Millionen,18
verhindern,18
Informationen,18
unterstützt,18
schützt,17
Gerechtigkeit,17
finanzielle,17
Ausbeutung,17
Wettbewerb,18
fairen,17
Wasserstoff,17
Technologien,17
